id_img,id_place
262148,34
393225,32
393226,113
109229,210
131089,269
262162,177
393243,51
262175,37
131108,217
393254,77
393258,364
131115,69
262189,302
122208,313
393266,5
393267,265
262197,257
393271,190
262200,268
393274,279
131131,53
393277,335
393282,174
393284,306
393288,92
524361,10
000074,320
131152,358
262227,100
262228,320
262229,311
131159,298
262235,130
524382,202
262242,311
131171,81
262161,175
524392,344
262262,335
393338,148
262274,187
262275,276
000133,241
131207,267
000136,298
000139,329
262284,304
000143,237
371395,255
524436,258
393372,51
524450,258
000164,27
524456,301
524459,247
043720,259
262323,259
262325,10
262334,51
000192,43
393410,307
393411,338
000196,81
131273,83
262347,346
131276,323
393421,183
393423,117
131280,43
262353,100
131282,224
524502,280
262360,97
524507,238
131295,279
262371,283
262376,32
000241,364
262386,46
524533,126
524535,35
524536,54
192047,46
262394,283
262396,240
000042,260
000257,271
262404,203
393478,279
131335,328
524333,285
262425,172
000283,40
000285,139
524575,259
524577,194
000294,265
393511,323
262440,46
393513,6
131379,32
524601,44
131386,1
262460,15
131390,210
262466,260
087435,258
262471,176
000328,3
021900,106
393547,240
262476,51
524621,104
000338,247
524627,224
393557,288
262487,43
131416,100
131418,271
546191,49
524637,46
524638,342
393569,46
524642,177
000357,43
131431,328
000360,104
262505,258
393578,26
262509,80
393583,274
524656,204
568040,259
262514,245
131444,255
568041,216
524665,117
262522,335
131453,259
000387,279
524681,174
000395,271
000397,268
000400,59
524694,67
133556,313
524702,36
000415,165
152987,280
131493,172
131494,320
131497,290
000428,304
393647,72
131504,13
524725,171
449560,237
000073,258
393659,46
131516,10
262594,320
524742,338
131527,346
393674,43
000459,127
262605,329
262608,115
262609,257
393682,32
131539,310
000472,195
262617,140
000474,311
393692,177
262626,53
131556,306
131557,268
000486,286
262631,237
000488,43
393710,288
262642,40
000502,342
393720,66
262651,172
131581,279
262654,115
524373,352
262658,285
109313,270
000520,267
131593,100
131597,258
393743,311
262672,310
262677,155
524822,329
000536,127
262682,204
131611,365
131612,259
262686,224
000544,313
131617,237
196699,46
393768,298
131627,179
524844,271
262703,192
393777,7
524850,294
000564,28
000569,271
445200,22
546229,78
393794,148
393804,115
000589,165
000590,46
262736,269
393809,311
262738,169
393811,150
393814,285
524887,277
524889,305
262746,235
262758,347
393836,183
174866,364
393838,186
000623,51
393840,289
187695,186
000626,308
000632,53
000636,46
000641,72
393858,1
087489,72
393864,285
393869,294
262800,307
393874,245
000661,32
262810,285
524957,276
131743,226
524962,269
000675,204
122229,255
524977,204
524979,269
000692,270
000693,8
218249,32
000699,67
524992,72
000711,329
393928,310
000715,322
000724,258
393942,279
131800,66
262873,170
000730,145
087503,279
131804,234
525021,176
525024,274
131815,239
262895,242
262896,285
174888,140
393971,178
262900,63
000757,357
000761,305
525050,258
393979,106
000764,25
393982,333
393984,204
131841,32
525058,246
000772,259
131847,245
000776,32
393995,96
131856,244
000785,306
394002,157
131203,178
525077,1
394009,46
262938,262
525083,177
262940,294
131869,352
525087,276
000802,344
000810,100
240434,23
394033,48
525106,310
131895,266
000827,63
525118,53
000831,126
394050,54
000836,235
262985,172
262986,146
262987,78
131919,79
131920,344
262993,240
524431,143
394079,268
131938,20
263011,72
131942,130
000872,43
000873,193
525162,278
525170,316
000885,315
131965,67
525183,207
525184,180
131969,264
458903,316
263052,49
525202,268
394131,294
394132,32
394133,183
525208,258
525211,32
263068,20
132001,239
223468,78
000939,46
394157,8
132024,235
546292,100
525247,177
000962,43
132037,335
000969,210
132042,245
000974,346
263120,288
248810,260
415225,335
525272,268
000985,72
132059,32
394206,8
263136,357
132067,125
525286,34
000999,43
001000,352
263146,277
525297,178
132084,143
263163,58
394240,228
001029,294
394246,171
349697,59
263177,126
525322,1
394251,145
394259,268
132116,268
132121,183
525344,1
263202,245
394275,72
132132,224
153094,299
001063,63
132136,50
525354,20
263211,363
132143,126
394288,163
525361,338
263223,310
525369,301
525371,104
525373,186
525376,83
132161,32
525381,313
039317,319
001103,187
394320,323
394322,169
263251,77
132182,43
394328,46
263258,43
132189,72
394334,32
263268,46
525420,196
394352,143
132210,145
263288,245
001146,130
132219,346
263292,124
001149,330
132223,62
001153,100
263299,8
087574,20
001164,325
052413,364
001171,8
001176,110
263323,125
001180,242
132272,100
394418,69
001205,197
263351,210
263355,306
263359,139
132288,20
394444,301
394449,12
263382,13
394458,259
394460,329
132317,64
000208,59
525542,72
132328,311
132329,254
394474,242
263403,358
394478,101
132336,72
263412,284
001270,43
525559,357
437119,364
525568,142
263425,260
263428,223
001290,180
001292,239
394510,258
001296,54
525587,200
132373,68
132375,148
525600,106
394533,176
263463,64
132393,271
327383,145
525616,329
263474,90
525619,25
263477,340
132408,276
001340,100
001342,299
394559,155
001347,101
001353,226
525646,322
174989,150
263505,258
001369,49
001374,279
263520,151
525665,49
525666,244
525667,78
554340,342
394608,49
001393,148
525682,353
394611,259
001398,63
001404,298
525702,20
525705,43
394635,338
327917,49
001425,186
132499,335
306073,210
001436,245
132509,355
132510,306
263586,25
394659,204
263588,111
394663,259
001448,259
263594,258
394677,216
001464,306
394681,72
178994,210
132540,178
263613,4
132544,43
525762,311
525763,172
132554,312
262391,64
525777,71
001490,187
394715,177
263644,52
001503,177
132578,125
394724,10
132587,271
393469,235
263664,72
263668,48
001525,171
001532,176
502698,93
263679,274
132612,363
132615,43
022103,357
132622,142
263696,320
001554,202
263700,120
394773,128
525849,275
001563,145
445233,163
525860,282
001573,204
001577,148
263723,81
132652,40
525869,174
284253,81
001584,72
394801,322
001590,333
001591,178
001592,333
001599,43
022112,115
022113,271
132682,46
525899,187
132686,306
525903,32
132689,266
132690,35
525908,165
525909,329
394840,119
394841,344
001626,34
132702,334
132703,317
132706,285
263780,357
415334,306
525927,67
437180,245
001647,240
263793,152
263796,283
001655,235
082981,20
196885,43
001667,54
001668,43
001675,34
394892,276
001682,248
525971,258
263828,29
393497,333
394904,266
263834,258
394909,175
525988,240
022129,309
132776,357
526000,127
263858,278
526004,270
132791,279
001722,162
132796,8
394941,187
526021,255
131361,100
263881,142
001739,174
526028,285
394957,46
132814,142
526040,187
526044,357
001757,100
001761,8
001779,109
263929,207
132860,336
132861,335
395006,363
175061,279
001799,257
526089,239
526091,237
275025,259
437209,359
263961,342
001818,113
263966,312
263969,204
132901,265
395046,338
526126,175
502749,204
001840,8
001841,251
393523,67
526132,202
526133,164
052386,260
001852,58
526143,11
001856,358
279391,216
132931,43
395083,259
568290,72
264017,268
109539,224
132953,111
264032,204
395113,72
526186,125
526188,307
001903,2
395124,304
526197,32
132982,104
395130,92
132987,358
306154,225
132992,334
133000,279
133002,176
526222,43
524611,279
371694,268
306159,46
001948,266
133025,104
001955,175
001960,311
133034,283
395180,206
264110,96
526256,328
395185,306
133042,43
264121,143
133050,56
133051,335
264124,186
001987,49
133060,43
133061,106
153249,274
001993,364
395210,59
437240,280
133078,48
264155,268
395230,258
133087,271
264161,301
133090,6
133098,174
133100,363
306173,347
133104,258
526321,177
264180,106
568318,40
264191,181
526341,292
526342,302
264201,306
133131,232
002061,46
526353,3
395283,49
133142,25
526359,329
526360,103
395289,182
133146,329
395291,313
526364,204
133149,274
264222,100
526368,136
022192,77
526371,190
133161,35
264238,253
526392,159
526394,285
395324,128
415413,231
526401,284
133195,92
002124,277
526414,329
395343,270
395344,299
526418,177
264279,358
526425,259
264282,306
002139,283
002142,207
395363,66
395364,48
002149,250
002153,43
002154,232
000359,126
002157,54
526446,313
133233,267
395378,142
395379,204
002164,139
133237,240
395382,320
526456,259
002171,49
133244,25
133251,56
395402,347
395405,353
002191,187
264336,255
264338,180
526486,35
264347,204
133279,258
002212,53
133291,285
415432,125
528181,27
264375,271
002235,226
395452,268
264382,313
002239,189
002240,336
264385,100
395462,97
395463,323
526536,268
002255,357
002261,358
306212,204
526555,40
133343,40
526560,259
264420,255
264423,307
264424,43
395497,310
526570,262
227031,298
526576,97
002290,80
526580,236
002295,237
395512,204
264441,347
395514,309
002299,271
002302,342
133377,240
133380,342
264454,72
133386,269
002315,288
264461,100
262531,258
175151,338
526622,80
264482,73
153307,148
133412,268
395557,353
264489,237
002346,122
264497,237
526645,151
395575,272
264506,345
526654,240
526675,183
002388,46
395606,43
264535,266
133464,34
264540,148
133470,98
133476,100
395621,286
264554,46
133485,148
526704,106
395633,248
526706,259
526711,294
264568,204
264572,43
002431,100
526721,347
002434,177
526723,239
526728,62
133515,359
526732,22
395665,117
264594,69
002453,261
264599,126
069914,286
526751,172
133537,338
526756,134
371782,203
264615,259
292505,333
065948,287
526762,278
264619,358
002477,213
526767,46
264625,148
264628,46
395701,329
133559,269
291202,237
526778,306
133567,217
395714,318
133571,312
395717,34
157206,53
395723,288
264654,125
526800,43
526801,245
264659,110
526804,32
526806,279
002521,194
133596,352
002525,224
262565,313
002529,5
002532,235
395749,274
133608,271
133611,60
264686,216
133619,145
133620,228
526837,306
133622,10
371069,46
022271,3
133629,177
133631,202
002562,317
133636,264
133645,267
264718,258
133648,315
087811,58
459182,49
395801,320
264730,13
002587,298
002592,100
264737,262
133667,30
526892,319
133679,64
133680,258
264753,257
002613,244
395831,115
526904,330
133690,125
002621,217
264769,301
133698,268
264771,27
395849,1
133707,202
002640,348
264787,347
526933,51
395865,271
526940,127
262587,358
264805,245
526955,198
526956,90
526962,347
264819,306
133750,202
306281,346
526972,32
002685,265
395903,187
395904,32
002690,98
133778,139
264853,352
264855,64
395928,58
527002,358
240751,357
458365,113
264870,46
069923,117
527022,250
527023,315
527025,316
527029,286
133819,72
133821,63
527038,9
527040,32
002753,262
131531,162
395975,329
395978,175
568439,72
002764,172
264909,307
527054,271
527060,100
264919,8
527064,268
395997,262
133867,113
264940,255
133869,320
527086,76
133876,180
527098,172
264957,299
527102,147
264961,277
264962,357
264964,46
002822,259
264968,43
264976,46
396051,294
002839,51
264992,270
415536,153
133923,179
396068,275
571847,100
133927,190
133928,307
265001,280
265003,210
133933,125
002867,190
527163,172
527164,8
396094,77
002881,350
002890,190
133963,169
133964,267
396110,285
133969,43
021919,311
527193,106
265050,53
502927,6
265059,280
265063,320
265066,306
133995,104
265069,277
133999,257
134001,162
527219,268
527220,159
134010,279
265085,43
134016,268
396167,43
265096,357
527248,8
502936,352
396178,245
218947,306
265108,87
134042,307
527260,204
265125,320
527270,271
396200,58
002985,153
002988,353
396205,259
396209,5
134066,259
003001,32
134074,349
134075,140
265151,271
396224,285
265153,35
003014,268
134096,46
527313,140
134098,306
306339,363
134103,310
265176,255
003035,274
396252,207
134112,347
134119,357
396269,332
265200,301
396274,346
134133,147
265208,32
003067,186
240811,190
396295,83
265227,32
003084,328
527374,115
527375,177
134160,137
265234,60
003091,100
003093,100
134167,185
265243,176
396317,174
003103,251
134178,271
396324,285
003109,261
265256,300
527407,328
459272,127
134194,357
003125,145
134198,226
134199,357
003134,72
527427,34
134213,61
134215,208
003145,216
003149,328
134223,32
527440,139
396369,285
546659,9
003156,46
527445,100
527447,306
265313,347
396387,32
527464,282
568508,347
134255,193
527476,200
527480,187
401642,100
396410,259
527486,315
134278,285
003209,106
134285,306
396432,163
003217,266
134290,240
022382,328
527510,171
265372,172
265374,352
013201,311
265378,258
371910,177
397279,25
527528,174
527529,241
003244,177
396461,125
527535,32
134322,315
003255,235
134328,1
350068,279
218997,313
527553,153
527558,67
134343,266
134346,219
396496,231
527573,113
087929,46
265433,210
527578,103
527580,338
134366,180
396518,37
396519,25
066087,111
003310,123
415613,140
301262,232
134386,173
527603,245
265462,271
265464,244
396541,178
003326,278
396543,262
265472,32
003335,46
003337,299
396556,259
134413,35
003342,338
527631,32
415619,64
396568,279
527644,307
306394,271
396580,60
265518,100
003378,251
003382,57
134459,311
134460,255
396608,304
571865,269
396617,58
265547,6
265550,325
527695,285
265552,309
134483,46
153486,223
527704,258
044260,250
003425,125
265574,46
134503,172
301266,115
265579,279
527728,325
527733,51
134518,51
265596,22
265597,254
396673,1
396676,271
527750,204
134537,271
003466,216
265611,90
134542,336
396687,190
396691,57
396692,279
396693,358
134551,202
134552,316
488942,246
161603,312
134555,106
265628,46
134558,226
003488,311
265635,4
265636,298
527783,294
527784,32
003501,115
134574,32
527791,306
265648,218
396727,72
396729,128
396736,120
415648,43
134594,342
134596,269
265677,311
393805,142
396754,49
527828,285
134618,211
396768,179
003553,266
527845,347
527846,224
396779,272
265719,245
134649,46
003580,353
265725,43
134657,176
003590,271
000599,51
527885,20
265742,280
527887,100
